,time,open,high,low,close,volume
327,2025-03-21,11.62,11.86,11.62,11.67,28567981
328,2025-03-24,11.67,11.76,11.52,11.76,25086492
329,2025-03-25,11.86,12.24,11.71,11.86,58800035
330,2025-03-26,11.86,12.19,11.81,12.0,48819725
331,2025-03-27,12.1,12.14,11.95,11.95,25077137
332,2025-03-28,11.95,12.1,11.81,11.95,34021503
333,2025-03-31,11.86,11.9,11.67,11.67,27408066
334,2025-04-01,11.76,12.0,11.71,11.9,20164245
335,2025-04-02,12.0,12.48,11.9,12.33,62113482
336,2025-04-03,11.86,12.0,11.48,11.48,71188170
337,2025-04-04,10.71,11.43,10.71,11.43,77571788
338,2025-04-08,11.05,11.24,10.67,10.67,21598886
339,2025-04-09,9.95,10.52,9.95,9.95,92938292
340,2025-04-10,10.62,10.62,10.62,10.62,1235362
341,2025-04-11,11.14,11.33,10.76,11.33,72008200
342,2025-04-14,11.48,12.1,11.33,12.1,61266892
343,2025-04-15,12.1,12.48,11.67,12.0,51470395
344,2025-04-16,12.14,12.24,11.76,11.86,30529153
345,2025-04-17,11.71,12.19,11.71,11.95,37159048
346,2025-04-18,12.14,12.57,12.0,12.1,90269265
347,2025-04-21,12.33,12.43,11.71,11.9,42558796
348,2025-04-22,11.67,11.95,11.1,11.62,109314653
349,2025-04-23,12.05,12.1,11.67,11.67,23708519
350,2025-04-24,11.81,11.81,11.29,11.52,42204877
351,2025-04-25,11.67,11.67,11.33,11.43,24858642
352,2025-04-28,11.57,11.62,11.38,11.48,18911855
353,2025-04-29,11.48,11.57,11.38,11.38,17992529
354,2025-05-05,11.52,12.0,11.48,11.86,33798103
355,2025-05-06,11.95,12.05,11.67,11.71,30965533
356,2025-05-07,11.67,11.81,11.52,11.57,27047557
357,2025-05-08,11.67,11.9,11.62,11.81,25763473
358,2025-05-09,11.9,12.19,11.81,11.86,38843820
359,2025-05-12,11.95,12.05,11.81,12.0,29474481
360,2025-05-13,12.29,12.62,12.1,12.24,60492960
361,2025-05-14,12.24,12.48,12.1,12.24,37225910
